plant_name,unit_name,plant_unit_name,owner,parent_company,capacity_mw,status,start_year,retired_year,region,country_area,subnational_unit,latitude,longitude,technology,fuel_type,announced_year,construction_start,operating_year,mothballed_year,cancelled_year,wiki_url
,,,Coal Power Generation Company Bangladesh Ltd [100%],Coal Power Generation Company Bangladesh Ltd [100.0%],600.0,announced,,,Asia,Bangladesh,,21.70184,91.8834,,,,,,,,https://www.gem.wiki/Matarbari_power_station
,,,Coal Power Generation Company Bangladesh Ltd [100%],Coal Power Generation Company Bangladesh Ltd [100.0%],600.0,operating,,,Asia,Bangladesh,,21.70184,91.8834,,,,,,,,https://www.gem.wiki/Matarbari_power_station
,,,Coal Power Generation Company Bangladesh Ltd [100%],Coal Power Generation Company Bangladesh Ltd [100.0%],600.0,construction,,,Asia,Bangladesh,,21.70184,91.8834,,,,,,,,https://www.gem.wiki/Matarbari_power_station
,,,Orion Power Dhaka Ltd [100%],Orion Group,635.0,cancelled,,,Asia,Bangladesh,,23.470926,90.271721,,,,,,,,https://www.gem.wiki/Mawa_power_station
,,,Bangladesh Steel Re-Rolling Mills Ltd [100%],Bangladesh Steel Re-Rolling Mills Ltd [100.0%],150.0,cancelled,,,Asia,Bangladesh,,22.771667,91.575,,,,,,,,https://www.gem.wiki/Mirsarai_power_station
,,,Zhejiang Jindun Holding Group Co; Bangladesh Power Development Board,Bangladesh Power Development Board; Zhejiang Jindun Holding Group Co,660.0,cancelled,,,Asia,Bangladesh,,22.757626,91.469544,,,,,,,,https://www.gem.wiki/Mirsarai_power_station_(Hangzhou_Jinjiang)
,,,Electricity Generation Company of Bangladesh Ltd [100%],Electricity Generation Company of Bangladesh Ltd [100.0%],400.0,cancelled,,,Asia,Bangladesh,,23.541887,90.571471,,,,,,,,https://www.gem.wiki/Munshiganj_power_station
,,,Orion Power Unit-2 Dhaka Ltd [100%],Orion Group Pvt Ltd [100.0%],700.0,pre-permit,,,Asia,Bangladesh,,23.61095,90.59335,,,,,,,,https://www.gem.wiki/Orion_power_station
,,,Ashuganj Power Station Co Ltd [100%],Ashuganj Power Station Co Ltd [100.0%],660.0,cancelled,,,Asia,Bangladesh,,22.056481,90.319494,,,,,,,,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj)
,,,Ashuganj Power Station Co Ltd; China Energy Engineering Corp Ltd,Ashuganj Power Station Co Ltd; China Energy Engineering Corp Ltd,660.0,cancelled,,,Asia,Bangladesh,,22.056481,90.319494,,,,,,,,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj)
,,,China Energy Engineering Corp Ltd; Ashuganj Power Station Co Ltd,Ashuganj Power Station Co Ltd; China Energy Engineering Corp Ltd,660.0,cancelled,,,Asia,Bangladesh,,22.056481,90.319494,,,,,,,,https://www.gem.wiki/Patuakhali_power_station_(Ashuganj)
,,,Norinco; Rural Power Co Ltd,Norinco; Rural Power Co Ltd,660.0,shelved,,,Asia,Bangladesh,,22.025149,90.312349,,,,,,,,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO)
,,,Norinco; Rural Power Co Ltd,Norinco; Rural Power Co Ltd,660.0,construction,,,Asia,Bangladesh,,22.025149,90.312349,,,,,,,,https://www.gem.wiki/Patuakhali_power_station_(RPCL/NORINCO)
,,,Bangladesh-China Power Co Ltd [100%],China General Technology (Group) Holdings Co Ltd [50.0%]; North-West Power Generation Co Ltd [50.0%],660.0,construction,,,Asia,Bangladesh,,21.9999671,90.3056554,,,,,,,,https://www.gem.wiki/Payra_power_station_(BCPCL)
,,,Bangladesh-China Power Co Ltd [100%],China General Technology (Group) Holdings Co Ltd [50.0%]; North-West Power Generation Co Ltd [50.0%],660.0,operating,,,Asia,Bangladesh,,21.9999671,90.3056554,,,,,,,,https://www.gem.wiki/Payra_power_station_(BCPCL)
,,,Mitsui & Co Ltd [100%],Mitsui & Co Ltd [100.0%],650.0,cancelled,,,Asia,Bangladesh,,21.813814,91.939525,,,,,,,,https://www.gem.wiki/Pekua_power_station
,,,Asia Energy Corporation (Bangladesh) Pty Ltd [100%],GCM Resources PLC [100.0%],1000.0,cancelled,,,Asia,Bangladesh,,25.946873,89.55324,,,,,,,,https://www.gem.wiki/Phulbari_Coal_Project_(Asia_Energy)
,,,China Energy Engineering Corp Ltd; GCM Resources PLC,China Energy Engineering Corp Ltd; GCM Resources PLC,1000.0,cancelled,,,Asia,Bangladesh,,25.946873,89.55324,,,,,,,,https://www.gem.wiki/Phulbari_power_station_(China_Gezhouba)
,,,Power Construction Corporation of China Ltd; GCM Resources PLC,GCM Resources PLC; Power Construction Corporation of China Ltd,1000.0,announced,,,Asia,Bangladesh,,25.946873,89.55324,,,,,,,,https://www.gem.wiki/Phulbari_power_station_(Sinohydro)
,,,Bangladesh India Friendship Power Company Pvt Ltd [100%],Bangladesh Power Development Board [50.0%]; NTPC Ltd [50.0%],660.0,operating,,,Asia,Bangladesh,,22.592458,89.556427,,,,,,,,https://www.gem.wiki/Rampal_power_station
,,,Bangladesh India Friendship Power Company Pvt Ltd [100%],Bangladesh Power Development Board [50.0%]; NTPC Ltd [50.0%],660.0,cancelled,,,Asia,Bangladesh,,22.592458,89.556427,,,,,,,,https://www.gem.wiki/Rampal_power_station
,,,Sena Kalyan Sangstha [100%],Sena Kalyan Sangstha [100.0%],660.0,cancelled,,,Asia,Bangladesh,,21.989,90.2792,,,,,,,,https://www.gem.wiki/Sena_Kalyan_Sangstha_power_station
,,,to be determined [100%],to be determined [100.0%],400.0,cancelled,,,Europe,Belarus,,51.789444,28.321389,,,,,,,,https://www.gem.wiki/Lelchitsy_power_station
,,,KI ONE SA [100%],KI Next SP zoo [100.0%],1000.0,cancelled,,,Europe,Belarus,,53.15,24.8167,,,,,,,,https://www.gem.wiki/Zelwa_power_station
,,,Electrabel NV/SA [100%],ENGIE SA [100.0%],125.0,retired,,,Europe,Belgium,,50.4304,4.3955,,,,,,,,https://www.gem.wiki/Amercoeur_power_station
,,,Electrabel NV/SA [100%],ENGIE SA [100.0%],127.0,retired,,,Europe,Belgium,,50.4304,4.3955,,,,,,,,https://www.gem.wiki/Amercoeur_power_station
